Tag,Question,Answer,Updated date,Answer provided by,Expiration Date
"physical security, access card, key card, badge","Is monthly reconciliation performed on all persons (housekeeping, IT, helpdesk, maintenance, etc.) authorized to enter areas where our data is viewed, stored, processed, or disseminated?","Badge access is managed as part of employee hire and termination processes, as well as with role changes as appropriate.",,,
"physical security, access card, key card, badge",What are the procedures for getting a card issued new and when lost or stolen?,Requests for new/replacement cards are processed by the FactSet Facilities team.  A temporary expiring badge is supplied in the interim.,,,
"physical security, access card, key card, badge",What are the procedures when a badge is lost or stolen?,The previous badge is removed from the system immediately and a new one is provided.,,,
"physical security, access card, key card, badge",What frequency is physical badge access reconciliation conducted?,Badges are removed from the system when directed by the client point of contact or when security learns of a termination. Audits are done at least quarterly.,,,
"physical security, access card, key card, badge","Who has keys to your office space?
a. Are locks changed when a key is lost?
b. Are the doors equipped with pick plates?
c. Is there a grand master system for which your space is included? Who controls the master keys?","Landlord/Building Management and Facilities Group has keys to our office space
a. If a Grand Master/Master is lost, building management would be expected to rekey the locks.
b. Yes, as necessary.
c.  Building and core space access on Grand Master, most of our space is on our own Master and Access card controlled access.",,,
"physical security, access card, key card, badge, visitor, visit",How do you control visitor access to your space?,Visitors must sign in at the front desk and are issued a temporary expiring badge.  Visitors must be escorted by a FactSet employee.,,,
"physical security, datacenter, physical controls, physical security controls",Physical security protections on datacenter specifically,"FactSet’s datacenters are purpose built and equipped with strong, industry-standard physical security controls which include key card access, security cameras, 24x7 security guards, and biometric controls.  Visitors must be escorted by an authorized FactSet employee and their visit requires prior authorization. ",,,
"physical security, facility access, janitor",Is your space cleaned by a janitorial service company?  Does the janitorial service company have keys to the tenant’s spaces?,"Yes.   Janitorial service has access to the FactSet space, but not the server rooms.",,,
"PII, Personally Identifiable Information",PII / Personally Identifiable Information Statement,"FactSet works with clients to upload only the essential data required to work with FactSet.  This includes, among other fields – date, symbol-ISO, quantity, and price for holdings.  Transactions, Returns, Factors, etc. are also uploaded to enhance the data for use in analytical applications.  FactSet encourages our clients not to send Personally Identifiable Information (PII).  FactSet does not periodically audit uploaded data for presence of PII – and it is the client’s responsibility to scrub data to remove PII before sending to FactSet.",8/9/2017,LCW,
"PII, Personally Identifiable Information","Massachusetts PII law
MA WISP
Massachusetts WISP","FactSet should not be receiving personal information in connection with your use of the FactSet service.
--

FactSet should not be receiving personal information as defined under MA State Regulation in connection with your use of the FactSet service.",8/9/2017,LCW,
"PII, Personally Identifiable Information","What if we send PII to FactSet?

***this is rarely used***","FactSet does not accept PII from clients by default.  FactSet works with clients to upload only the essential data required to work with FactSet.  If a client or custodian chooses to send FactSet PII anyway, we do not parse it from the file contents, and it lives for a short period of time in raw form.  After that period it is deleted and begins to roll off of our back-up systems.",8/9/2017,LCW,
"PII, Personally Identifiable Information","The provider should provide a process to mask sensitive data fields (e.g. Personal Identifiable Information, PII) to meet the obligations under local data privacy law.",Yes – passwords.  FactSet as a product does not ingest PII as sensitive data.,,,
"PII, Personally Identifiable Information","De-personalizing of Data - The solution must have the capability to scramble investment data as well as the capability to mask
sensitive information",Our Client Data Integration Team can work with you to put procedures in place to obfuscate / concatenate / hash or otherwise mask specific data types. ,2/26/2018,JMD,
"platform version, platform age","For all technology platform(s) used to deliver the services, please confirm the age and version of the platforms(s). For externally purchased platforms please advise if your organization is on the latest version released by the vendor.","FactSet is an ASP/SaaS and maintains thousands of machines such as servers, routers, hardware to deliver services to our clients.  FactSet system administrators ensure hardware and software are running supported versions.  Devices are audited for compliance.  ",,,
"policy, security policy",Can we have a copy of X policy?,FactSet does not make its internal policies and procedures publicly available.,,,
printing,Does the software package impose particular constraints in case of printing subcontracting ?,"FactSet leverages standard Microsoft interfaces to output to printers, spoolers, files, PDF generators, etc.",,,
privacy policy,Can we have a copy of your privacy policy?,Please refer to http://www.factset.com/privacy,,,
Privileged Accounts,Is each user granted a separate ID for privileged accounts and roles?,Yes,,,
Privileged Accounts,Does the password for privileged accounts expire after use?,Passwords expire after a period of no use.  Passwords are not one time use. ,,,
"Processing time, batch, cornerstone","Is there a batch cycle associated with this product?  If so, how long is the standard processing time, and what determines this window?",Yes.  Processing times can vary depending on the task.  ,,,
"Processing time, reporting",How long does a complicated Performance report take to produce?,Typical processing times range from seconds to minutes.,,,
"product development, bug fixes","Describe your Product Management/Development process, including how bug fixes are prioritized against ongoing development, how is the staff organized?",FactSet has an engineering department as well as a separate product development department that tracks internal incidents filed by either the sales or consulting department.  Bug fixes are prioritized based on its criticality as well as number of clients affected.,,,
Proprietary Technology,"Are proprietary technologies used? If so, please describe their use.","Yes.  In addition to many standards-based HTTPS request/response methodologies, the FactSet client software (written in C++) leverages several proprietary TCP ports.  For more information, please refer to the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf ",,,
"proxy, HTTP, SOCKS",Can your application be accessed through a proxy?,"HTML content within FactSet will take advantage of any HTTP Internet proxies defined within Internet Explorer manually or via a proxy.pac file.   For more information, please see the FactSet Technology Overview Guide and the FactSet Installation Guide at:
http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf (page 9)
http://www.factset.com/files/download/files/pdf/FactSet_Installation_Guide.pdf (page 21)",,,
"proxy, network","If application connects via the Internet will it work using a proxy auto configuration (""PAC"") file?","Yes.  FactSet is not a web-based application, however, it does make web calls, which will work using PAC files.",,,
"proxy, SOCKS, NAT",How we can configure the proxy settings on the client application?,"Please work with FactSet Technology Solutions who will define the settings which clients acquire automatically through our Central Dispatcher.  FactSet automatically uses web proxies as defined by manually in Internet Explorer, by Group Policy or via .pac file",,,
"public systems, website",Use of a browser,"FactSet is primarily an installed PC-based workstation product.  However, FactSet also offers a browser-based solution (https://my.factset.com) in addition to FactSet Connect, which uses XenApp (Citrix) via HTTPS. Additionally, users of Android, iPhone, iPad also have the option to also use a native FactSet client as well as a browser-based solution.  For more information, please refer to the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.  ",,,
QA,Describe the integrity controls that have been implemented for the processing of information.,"The FactSet Quality Assurance team performs a battery of tests on all FactSet application releases.  In addition, feeds received from 3rd party data vendors undergo a series of checks prior to delivery to clients.",,,
QA,General QA Statement,"Quality Assurance is deeply ingrained in FactSet’s software development and release practice.  Well-established operational relationships and workflows between the development and testing functions include product specifications, test plan development, and thorough pre-release functional testing (both manual and automated).  Release cycle management across the PC –side and Server-side platforms include comprehensive regression and integration testing (both manual and automated), as well as formal release readiness sign-offs prior to deployments. ",,,
QA,"If your system runs in different environments (e.g., Windows and Linux), so you test in all environments?","FactSet’s installed software is a Windows-only release (32bit and 64bit OS) – various components of FactSet may be run in any native modern browser (IE, Safari, Firefox, Chrome, etc.).",,,
QA,QA Statement regarding the quality of our data / data quality,"FactSet combines manual testing, review and research with an exhaustive suite of automated testing to identify and verify suspect data points.  Robust monitoring systems and processes are in place to identify anomalies in our data that allows FactSet to respond proactively.  FactSet performs automatic data reconciliation.  Nightly checks/QA Processes are also done on all commercial data (pricing, benchmarks, fundamentals, estimates, ownership, M&A, etc.) loaded into FactSet.  FactSet Portfolio Services applies a robust set of client-specific raw data load and analytics outlier analysis, reconciliation and remediation.",,,
QA,Which are you quality targets?,"FactSet has very specific internal goals for content quality which are broken down into 5 factors -  Timeliness, Accuracy, Coverage, Completeness and Utilization.  We do not publically release these numbers – however FactSet has a sophisticated system in place to track these Metrics/KPI for each content set, each content collector, each data item, and so forth in real-time and historically.",,,
"QA, error checking","Your procedures for the reporting, logging and correction of errors.","FactSet uses a unified internal tracking system to manage all enhancements and bug requests from clients and internal product development / engineers.  As fixes and enhancements are released they are tagged back to original requests and released in the next-available package, after a full regression and QA scenario run.",,,
"QA, FTP, SFTP, test environment","Are multiple installations allowed? We like to use a development, acceptance and production environment.","Use in the context of Cornerstone:  

Test folders are available within the general directory structure for testing uploads and reporting codes and business rules. These can then easily be migrated to live folders within the same directory.",,,
"QA, test environment",Describe testing environment available,FactSet exhaustively tests software prior to release through a vast suite of both manual and automated QA procedures.  Clients who wish to download and test the FactSet client  software prior to rolling it out may do so. ,,,
"QA, test environment",Process for beta testing controlling new release definition,"FactSet does not release beta versions.  When our software is released to clients it has already gone through our QA process, which includes exhaustive rounds of manual and automated testing.  Clients can choose to install the Early Adopter version of our software to take advantage of the most recent enhancements to FactSet, or you are in need of a specific new feature that is part of this release.  ",,,
"QA, test environment",Is there a separate upload functionality available for the test environment?,"Yes – however please note that the test environment is embedded in the overall FactSet instance delivered to our client – separated by a distinct set of uploads, parsers and calculation processes.",3/26/2018,JMD,
reconciliation,Describe data integrity safeguards written into the software.,FactSet performs automatic data reconciliation.,,,
"record, data retention",Are destruction logs or certificates of destruction produced upon the completion of each destruction activity?,Records are destroyed onsite and an invoice for the destruction serves as record and tracking of the destruction.,,,
"record, data retention","Does your company include meta data that describes original records in its record management program such that meta data, as well as the original record, is retained and managed according to applicable record retention requirements?",Record data and any associated meta data is retained until there is no longer a business need.,,,
"regulation, compliance",Are there requirements to comply with any SEC regulations?,"As a public company, FactSet complies with applicable SEC regulations.",,,
Remote Access - FactSet Product,The ability to remotely access the application (e.g. VPN),"FactSet is a SaaS, and is designed to allow clients access from anywhere.  Users can access FactSet through our installed client software, through FactSet Connect – which is Citrix via HTTPS, or through our native Android, iPad and iPhone apps.  FactSet stores all workspaces, preferences, ticker lists, portfolios, formulas, screens, groupings, and searches securely in our datacenters. Entitlements are defined and controlled centrally, meaning that each individual’s workspace and workflow is available at the office or on the road, without any special setup.  Clients simply need to ensure the necessary ports are allowed for outbound-initiated connections (see page 9 of the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf).  ",8/26/2017,LCW,
Remote Access - FactSet Product,Does the product allow for workspace independence (login from any workstation and your profile will follow you)?,"Yes.  Virtually all settings, data, formulas and preferences are stored within FactSet’s data centers.  MS Office documents and Excel models are usually the document types that are local to the PC and should be made available on a network drive if workspace independence is desired.",8/26/2017,LCW,
"Remote Access, RA, VPN",Employee Remote Access (RA),Employees connect via secure VPN with strong per machine certificate-based authentication using company issued computers.,8/26/2017,LCW,
"Remote Access, RA, VPN",Is there a policy for preventing dial-in access and personal equipment on the network?,Personal equipment is allowed only outside of the DMZ.  Dial-in access is allowed to some edge network devices for support purposes.  Access is logged and alerting is in place to detect violations.,8/26/2017,LCW,
"Remote Access, RA, VPN","Are remote access user accounts reviewed (e.g., recertified)? How frequently?",Remote Access is provided to all employees. Recertification occurs when there is a business need.,8/26/2017,LCW,
"Remote Access, RA, VPN","Do you have Remote Access Agreements in place regarding IT connections with your organization e.g. Third Parties, Internet? If not, what is your policy for security? Are firewalls used to control all external connections?",Yes.  Firewalls or equivalent access control systems.,8/26/2017,LCW,
"Remote Access, RA, VPN","Does the organization use secure RDP for remote desktop or VDI solutions?

(They are asking about FactSet's internal use of VDI)","For any individuals who would need to access VDI from offsite, we would use encrypted ICA over our encrypted IPSEC VPN.

---
Where appropriate:
Remote access (RDP) is used from corporate subnets to a well-controlled, non-persistent virtual-machine Sandbox factory – access is allowed only from company-issued computers.  Once in that sandbox, access for RBAC-allowed employees is timed and logged into specific client’s data for support purposes.",8/26/2017,LCW,
"Remote Access, RA, VPN","Are controls in place to ensure that when remote access technology is in use, concurrent connections to other networks are prohibited?",Yes.  A full tunnel VPN solution is in place.,8/26/2017,LCW,
Remote Assistance,GoToAssist,"FactSet specialists and engineers can assist clients via GoToAssist.  We need the users permission and actions in order to have the remote control started.  

--
Use details from here ONLY IF needed:

FactSet does not have any remote-control executables built into our software.  Some of our support specialists and engineers have access to Citrix’s GoToAssist to remote control and assist IT and users as necessary or required – however this requires the users to click multiple times on an emailed URL to enable GoToAssist to run.  We cannot proactively take control of any machine – we need the users permission and actions in order to have the remote control started.  GoToAssist uses 128-bit AES encryption.",8/21/2017,LCW,
Remote Assistance,Will the vendor work on-site or off to fix faults?  ,"On-site is generally not necessary.  FactSet specialists and engineers have access to assist clients via FactSet Remote Assistance – a technology which allows FactSet personnel to see what is happening on the desktop and offer technical, as well as application guidance. Remote Assistance enables efficient troubleshooting and quicker resolution of complex issues, since it allows FactSet personnel to see exactly what users are seeing.",8/21/2017,LCW,
"requirements, prerequisites","Describe the technical prerequisites for deploying your solution.
**Check PC Specs with TOG**
","The installed FactSet client software runs on Microsoft Windows (7, 8, 8.1, 10, Server 2008R2, 2012 and 2012R2).  FactSet also leverages Microsoft Internet Explorer, .NET, Office, and Adobe Reader.  For version compatibility, please refer to the FactSet Framework Overview at http://www.factset.com/files/download/files/pdf/FactSet_Framework_Overview.pdf 

Minimum PC Specs:
CPU Dual-Core processor or 2 vCPU
Memory 4 GB minimum
Local Disk 5 GB free space

Recommended PC Specs:
CPU Dual-Core + processor or 2 vCPU
Memory 8 GB +
Local Disk 5 GB free space

---
Add as needed:

FactSet recommends the use of our DataFeed Loader for working with our Standard DataFeed products. The DataFeed Loader supports multiple operating systems (Windows 7, Windows 8.1, Windows Server 2008, Windows Server 2012, Red Hat Linux 6, Ubuntu 14.04, or Ubuntu 16.04) and various database systems (including Microsoft SQL Server, Oracle, MySQL, MariaDB and PostgreSQL 9.6 or 9.7). The DataFeed Loader also requires an internet connection capable of reaching FactSet via HTTPS via port 443. FactSet can provide further documentation on hardware, supported databases, etc.

FactSet also provides plugins for various statistical packages (such as R & Matlab) and a Developer’s Toolkit (which supports Python, C#, C++, Visual Basic and Java). More details can be found at https://www.factset.com/download/statlink 







",10/12/2017,Pat,
retention,FTS Retention time,"Cornerstone: FactSet generated files and client uploaded content will remain on FTS for 30 days.  This retention policy is enforced using the modification time of the files.

Contributors (FRC/FER) and Custodians: Uploaded content will immediately be transferred to back end systems for processing.  Files will remain on FTS for 3 days.  This retention policy is enforced using the modification time of the files.",,,
retention,Retention policy for clients who have cancelled,Client data are maintained on FactSet’s mainframes for 60 days past a client’s subscription to FactSet.  Client data are maintained on back-up tapes for 60 days + 12 months due to FactSet’s back-up tape retention policy.,,,
"retention, data at rest, record, purge",Do you have a data retention and disposal policy? ,"While FactSet does not proactively purge client data, FactSet will assist with data deletion if desired.",,,
"retention, deletion, purge, retained",How do you delete our data after we have cancelled?,FactSet maintains all uploaded data for the life of a client.  Data is deleted at the operating system level by our mainframes after 60 days have expired past account cancellation.  The SAN immediately would re-use that storage for other file system activity once data is deleted.   FactSet does not proactively purge data from tapes in our robotic libraries.  Data on those media would roll off automatically after 12 months.,3/26/2018,LCW,
"retention, deletion, purge, letter, certificate of destruction","How do we know you deleted our data?

(Internal Note: A sample letter is in the standard answer folder, but should not be sent unless Okayed by Lyn or Mike)",FactSet can provide a letter certifying data deletion at your request.,,,
"retention, deletion, purge, returning data",Return of Data if client cancelled For IRN clients,"FactSet RMS content remains the property of the client.  Upon termination of the service, the client may request an extract of that content.  On a mutually agreed upon date, typically within 4 weeks of termination, the full content will be extracted in a flat meta-data file, alongside a series of ZIP files containing extended text content as well as any file attachments.  Each row in the flat file represents one record in the RMS and will include unique pointers to the related attachments, etc. in the ZIP files.  The files will be delivered to the client via secure email.",10/12/2017,"Danielle Karr
Alex Kasza",
"retention, deletion, purge, returning data",Return of Data if client cancelled For PA clients,"
FactSet can craft a production job to aggregate and deliver client proprietary content as a bulk feed via SFTP – this would be available up to 60 days after termination of contract.  As a normal course of business, FactSet does not usually send copies of client’s proprietary data back to the client, as the client and their custodians are usually the production source of that content.  Derived content, such as analytics or reports, are often sent daily via SFTP as part of the nightly workflow, or via rotating-key authenticated web services, and via workstations for interactive exploration.
",8/28/2017,JMD,
"retention, deletion, purge, returning data",Return of Data if FactSet went out of business,"Client uploaded content, as well as derived analytics are available for a client to consume in bulk or on-demand format at their discretion.",,,
"retention, purge",Indicate how long your company retains information.,"FactSet does not proactively purge data uploaded by clients – deletion of data can occur through our client software by authorized personnel (serial numbers) at the client location.  In other words, FactSet maintains all uploaded data for the life of a client.",,,
"review, assessment, vulnerability","Do you provide severity ratings for vulnerabilities, and how are they determined?",FactSet’s systems engineering teams subscribe to multiple industry and vendor-specific vulnerability feeds as part of an overall patching policy.,,,
"risk assessment, risk management","Outline your firm’s approach or philosophy in regards to its enterprise risk management.  In this regard, describe how risk is managed within your organization; include your approach to legal, operational, reputational and business risks. ","An enterprise risk assessment is performed annually by the FactSet Enterprise Risk Committee.  This group, led by FactSet's CIO, consists of members of FactSet's senior management and Board of Directors.  A review of the reputational and business risks happens annually by the FactSet Board of Directors.  These prioritized risks are fed into the enterprise risk assessment process. This process consists of:
• Review of regulatory requirements
• Gap analysis of the logical security controls in place against identified business risks and requirements
• Gap analysis of the capabilities, roles and physical security controls of each FactSet location against identified business risks and requirements
• Alignment and prioritization of all risks to business goals
",10/24/2017,MCW,
"risk rating vulnerability, risk management, risk portal, risk assessment",Is there a process to identify and assign a risk ranking to newly discovered security vulnerabilities?,"Risk ratings are assigned, documented and tracked via a custom portal as part of FactSet's Security Assurance processes.",,,
"risk, third party, audit","Security Assessments on third parties

This answer should be used very rarely","The FactSet Security Team performs Vendor Security Assessments, which includes an assessment of vendor security practices and, where applicable, a physical security assessment.",,,
SAML,Is SAML 2.0 supported?,"SAML2 SSO federation is offered for FactSet’s interactive web portal (https://my.factset.com) as well as programmatic webservices via HTTPS.

SAML2 SSO federation is offered for direct access to FactSet interactive as well as webservices via HTTPS.",9/1/2017,JMD,
SAML,"Can your applications integrate with Open Identity Federation Standards (Oauth2.0, SAML2.0, etc.) for SSO with us as the preferred Identity Provider (IdP)?  ","Our deployed application uses a proprietary rotating key authentication mechanism layered on top of Active Directory Kerberos authentication in order to access a file, so essentially it is AD SSO + FactSet SSO.  SAML2 SSO federation is offered for FactSet’s interactive web portal (https://my.factset.com) as well as programmatic webservices via HTTPS.",9/1/2017,JMD,
SAML,"If a SSO application to be used, please detail how the user identity is extracted and validated, including the types of authorization and entitlement checks that can be performed.  Confirm your organization will, upon receiving the SAML assertion from us on behalf of the user; validate the digital signature, parse the inbound assertion to extract the our personnel identifier, and perform session management after the employee identifier is extracted from the SAML assertion.","When a client (IdP) federated with FactSet (SP), FactSet follows these best practices for assertion validation and session management.  FactSet leverages SAML for authentication only, nor for authorization which continues to be driven by FactSet’s internal entitlement and authorization engines.",9/1/2017,JMD,
SAML,"Is the solution compatible with LDAP or SAML2 or other authentication systems?  SSO / Single Sign-on, AD / Active Directory, or LDAP authorization",Clients who leverage any SAML2-capable User Identity system (Active Directory or third-parties services / appliances) may federate with FactSet in order to enable single sign-on.,6/7/2017,JMD,
SAML,Do you integrate with CyberArk’s Password Vault product?,Any system that can interface using SAML2 standards can be used as an IdP (Identity Provider),,,
SAML,Do you support other Federated Identity Access Management (FIAM) (a.k.a. single sign on)?,SAML2 only at this time.,,,
SAML,Is the SAML Solution used capable of integrating with us for authorization purposes?,"FactSet centrally manages access to content, exchanges, applications, models, products, and functionality via FactSet-controlled entitlements.  FactSet leverages SAML for authentication, and back-end entitlements are pre-defined for that authenticated entity.",,,
"screen resolution, monitor, monitors, display",Describe the client PC display requirements  / Screen resolution,A minimum 1280 x 1024 resolution is needed.  Multiple monitors supported – all graphic cards supported.,,,
"screen saver, lock, timeout, hardening",Screen saver / laptop timeout,All workstations are configured to lock automatically after a short period of inactivity.  ,,,
SDLC,SDLC,"FactSet’s project management approach and development life cycle is based on the ability to be agile with respect to client and market needs.  Project Teams collaborate and best practices are achieved organically to manage expectations of reliability, stability, and version compatibility.   This approach has historically proven successful.  SDLC methodology is based upon Agile programming methodology.",,,
"SDLC, change control, segregation of duty, separation of duty",Change Control ,"General Answer:
FactSet maintains change control processes that include documented requests, approvals, testing/implementation steps, and back out procedures of all proposed changes.  FactSet development follows strict Dev, Staging, Production promotion cycles – performance and functional testing occurring at each stage.  Engineering management uses tools to filter on and audit changes with minimum defined scope and complexity.  Review boards for peer reviews, security assessments, unit testing and regression testing are all part of the FactSet SDLC.  Internal training is in place for new hire employees, and employee managers ensure internal procedures are being followed.

--
Use other answers where appropriate: 
FactSet maintains change control processes that include documented requests, approvals, testing/implementation steps, and back out procedures of all proposed changes.  FactSet teams coordinate through internal change controls and incident tracking systems.  Management signoff is required for a change control to be implemented.
--
All requests for change are properly documented by FactSet entities (engineers / specialists / account team) and then implemented - using our global incident system as an audit trail and approval mechanism.
--
FactSet's change control policy requires a peer review for all changes and authorization by a senior manager.  All changes are time bound and are required to contain verification and back-out procedures.  Changes are performed in designated change control windows.
--
Exceptions are documented and approved per FactSet's Change Management plan.  Emergency changes require director level approval and any changes that would impact clients require senior leadership approval and coordination.
--
FactSet builds electronic workflows around the Standard Operating Procedures that are associated with each task.  Electronic signoffs and management reviews occur for all change controls.
--
All changes are logged centrally and a summary of the changes made and the individual who made the change are emailed to managers.",8/9/2017,LCW,
"SDLC, change control, segregation of duty, separation of duty, emergency, emergencies",What would constitute an emergency change?,"Any code change, vulnerability patch or physical hardware event that affects a large number of clients and/or a sustained situation materially impacting use of FactSet, or placing FactSet in a position of performance/stability risk. ",8/21/2017,LCW,
"security feature, application security",Is the security feature available at application level?,"Security features within the FactSet client software are in place by default and cannot be re-configured by clients.  For more information on application security, please refer to the “Security Overview” and “Data Security” sections of the FactSet Technology Overview Guide at   http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf. ",,,
Security Policy,Does your organization have a security policy?,Yes.  Please refer to the attached Security and Governance whitepaper.,10/9/2017,LCW,
Security Policy,"Has the information security policy framework been approved by management, communicated to appropriate constituents and an owner to maintain and review the policy?",Yes.  FactSet's security policy is owned and maintained by the FactSet Security Team.  ,10/9/2017,LCW,
Security Policy,Do you notify your customers (CNA) when you make material changes to your information security and/or privacy policies? ,"No, FactSet does not release our internal information security policy externally.  Clients are welcome to inquire about FactSet's policies by submitting questionnaires or via telephone and web conference.  FactSet's Privacy Policy is available on our website at http://www.factset.com/privacy",,,
Security Policy,"Please describe the process used to adjust and/or update your information security program. For instance, how frequently are these adjustments made and what events trigger adjustments?",FactSet’s Security Policy is updated at least annually.,,,
Security Policy,"Please describe the process used to adjust and/or update your technical standards.  For instance, how frequently are these adjustments made and what events trigger adjustments?",FactSet continuously updates standards based on business needs.,,,
Security Policy,Who is responsible for ensuring compliance with the Information Security Policy?  Who is accountable for security?,The FactSet Security Team and employee managers.,,,
Security Policy,,Portions of the Security Policy have been reviewed and updated this calendar year.  The main Security Policy document is scheduled to be reviewed later this calendar year.,,,
security policy changes,Do you alert customers to datacenter changes or changes in security policies?,"Clients are alerted to changes that have a material impact.  In general though, clients are welcome to inquire about FactSet's policies by submitting questionnaires or via telephone and web conference.  Our Technology Overview Guide is also available on our website at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.  ",,,
"Security Policy, audit, certification","Do you have BS7799 accreditation? If not, please provide a brief outline of your Information Security policy.","FactSet does not seek BS7799 accreditation.  For Security information, please refer to page 13 - 15 of the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.",,,
"Security Policy, Cyber Security, documentation request","Do you have a Cyber Security and/or Information Security Policy, if so, can you please provide a copy of the Contents page.","Yes. For Security information, please refer to the “Security Overview” and “Data Security” sections of the FactSet Technology Overview Guide at: http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf.  ",,,
"security policy, documentation request","Request a copy of your security policy.
Can we see your security policy?","In general, FactSet does not make its internal confidential policies and procedures available externally. Clients can refer to FactSet's Code of Business Conduct and Ethics (http://investor.factset.com/investors/corporate-governance/default.aspx),  the FactSet Technology Overview Guide (http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf), and the attached Security and Governance whitepaper.  Clients may also request information about FactSet's security practices in the form of annual meetings, teleconferences or by submitting questionnaires for response.  Additionally, upon reasonable request, clients are permitted to tour a FactSet datacenter to visually inspect the controls discussed.",,,
"Security Schedule, agree, agreement, do you agree to, attest, sign, execution, execute, MAS","Security Terms and Conditions, Security Schedule response

are you in compliance with …

MAS Technology Risk Management Guidelines","------------
Without language on MCLA:

FactSet meets or exceeds industry best-practices for security, operational integrity, infrastructure redundancy, business continuity, risk management, process controls, and employee policies.  For more details on FactSet’s security and technical controls, please see the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf and the attached Security & Governance document.  Additionally, FactSet regularly opens up senior management to provide additional details on our policies and practices for any specific questions.  We also invite our clients to visit our datacenters or to present any security, process or application questionnaires.

----
With MCLA Language:

FactSet meets or exceeds industry best-practices for security, operational integrity, infrastructure redundancy, business continuity, risk management, process controls, and employee policies.   However, FactSet only licenses its products and services under its own form of agreement.  Please refer to the agreement currently in place between the parties.  If selected for this RFP, we are happy to review these items further and answer specific questions your firm has regarding FactSet’s policies and procedures.  For more details on FactSet’s security and technical controls, please see the FactSet Technology Overview Guide at http://www.factset.com/files/download/files/pdf/FactSet_Technology_Overview.pdf and the attached Security & Governance document.  Additionally, FactSet regularly opens up senior management to provide additional details on our policies & practices for any specific questions.  We also invite our clients to visit our datacenters or to present any security, process or application questionnaires.  

---
Additional Language:
FactSet has security and governance policies in place to protect data loaded by clients onto FactSet’s systems.  FactSet’s Policy Summary, Attestation and Assessment documents will be provided upon request.  FactSet makes reasonable efforts to evolve our security and governance policies to comply with security standards that are appropriate to the broad-base of our asset management, banking and markets clients.  For production systems, FactSet generally follows best practices as defined by ISO 27002. 

",12/21/2017,LCW,
"security team, Security Organization, two security groups",Describe information security program and policies including mission / vision and management structure along with the overall approach to security.   Describe roles and responsibilities of IT security,"FactSet has a Security Team that is dedicated to ensuring the security of FactSet systems and services with the ultimate goal of preventing unintended or unauthorized access or disclosure of client data stored in this environment.  FactSet’s Security Assurance team reports to FactSet's CIO, and FactSet's Security Infrastructure and Security Operations teams report to the Director of Systems Infrastructure.

- FactSet’s Security Assurance group (SAG) manages information security risk through the routine practice of performing secure code and design reviews and training, penetration testing, vulnerability scanning and threat mitigation management following industry best practices

- FactSet’s Security Infrastructure group (SIG) manages the enforcement of FactSet’s security policies through security controls management, employee security awareness training, incident response and general security oversight

- FactSet’s Security Operations group (SOC) provides continuous operational support for responding to a broad spectrum of security incidents through the proactive detection of concerning activity collected, and reactive response to alerts generated by FactSet’s central logging and SIEM platforms",,,
"SIEM, Monitoring","Please define the frequency of this Ad-hoc monitoring. 
Also, is there any Security Information and Event Management(SIEM) system installed in your environment?","Yes, a SIEM solution is in place.  Alerts generated by the SIEM are sent to the entire Security Infrastructure team.  Security logs are reviewed at least daily and also multiple times per day on an ad-hoc basis are part of a security engineer on-call task item.",,,
Site survey,Is your company willing to allow us to conduct a site survey of your company’s facilities in an effort to evaluate privacy/security efforts?,"Upon reasonable request, clients are invited to visit either of FactSet’s two data centers.",,,
"SLA, service levels, service level, SLA ",What is your SLA? (general answer),"FactSet offers the following Service Level Agreements.   For Portfolio Services, FactSet displays the current and historical performance and quality of nightly production workflows on Control Center via KPIs and full transparency – FactSet operates against a Process Engineered model that has been agreed to between FactSet and the client.  For Enterprise Hosting deployments of B-One, Vermilion, Cognity, Portware, Cymba, OEMS, Code:Red and Partners, FactSet delivers a detailed Availability SLA.   FactSet also offers a service level on the handling of support tickets by voice, IM and Issue Tracker for response and escalation.

--
As needed: 

FactSet does not participate in financial penalty SLAs for services outside of our single-tenant enterprise hosting offering.
--

FactSet closely monitors service time levels on all services within our micro-service architecture backing our analytics solutions.

",3/26/2018,JMD,
"SLA, service levels, service level","Average time frame for error resolution, error checking","FactSet does not guarantee or deliver an SLA on fixing errors, however we have Consultants available 24/7 to assist with issues.   If an error is related to software, it is likely there is already a defined Standard Operating Procedure put together by Engineers which will allow the user to continue working normally.",1/19/2018,JMD,
"SLA, service levels, service level",How frequently is your availability measured and reported?,FactSet strives for 99.99%+ client availability and has achieved that for past many years.  We do not officially report availability to our clients or in our public filings.,3/26/2018,JMD,
